CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,station_id,time
0.9,60.4,98.7,163.1,87.0,14.4,1009.0,2014-05-01 00:00:00
0.9,59.0,84.0,166.0,103.0,12.0,1009.0,2014-05-01 01:00:00
0.9,38.0,103.0,171.0,112.0,21.0,1009.0,2014-05-01 02:00:00
0.8,35.0,96.0,163.0,117.0,18.0,1009.0,2014-05-01 03:00:00
0.9,38.0,67.0,158.0,124.0,14.0,1009.0,2014-05-01 04:00:00
0.9,31.0,57.0,161.0,132.0,11.0,1009.0,2014-05-01 05:00:00
1.0,41.0,56.0,163.0,138.0,9.0,1009.0,2014-05-01 06:00:00
1.1,56.0,40.0,179.0,142.0,10.0,1009.0,2014-05-01 07:00:00
1.2,63.0,42.0,222.0,156.0,18.0,1009.0,2014-05-01 08:00:00
1.2,61.0,56.0,224.0,168.0,29.0,1009.0,2014-05-01 09:00:00
1.2,53.0,87.0,227.0,168.0,35.0,1009.0,2014-05-01 10:00:00
1.1,34.0,133.0,214.0,149.0,40.0,1009.0,2014-05-01 11:00:00
1.1,25.0,162.0,210.0,148.0,46.0,1009.0,2014-05-01 12:00:00
1.2,23.0,176.0,192.0,150.0,41.0,1009.0,2014-05-01 13:00:00
1.2,22.0,194.0,182.0,144.0,42.0,1009.0,2014-05-01 14:00:00
1.3,24.0,198.0,207.0,151.0,42.0,1009.0,2014-05-01 15:00:00
1.3,26.0,201.0,201.0,156.0,42.0,1009.0,2014-05-01 16:00:00
1.1,24.0,206.0,198.0,137.0,34.0,1009.0,2014-05-01 17:00:00
0.8,25.0,128.0,,92.0,18.0,1009.0,2014-05-01 18:00:00
0.7,31.0,62.0,216.0,65.0,2.0,1009.0,2014-05-01 19:00:00
0.6,27.0,63.0,,81.0,5.0,1009.0,2014-05-01 20:00:00
0.5,16.0,74.0,155.0,50.0,2.0,1009.0,2014-05-01 21:00:00
0.4,12.0,75.0,79.0,31.0,2.0,1009.0,2014-05-01 22:00:00
0.4,13.0,72.0,,33.0,2.0,1009.0,2014-05-01 23:00:00
0.4,12.0,72.0,48.0,31.0,4.0,1009.0,2014-05-02 00:00:00
0.4,10.0,71.0,30.0,22.0,4.0,1009.0,2014-05-02 01:00:00
0.4,10.0,70.0,26.0,18.0,4.0,1009.0,2014-05-02 02:00:00
0.4,9.0,73.0,27.0,24.0,4.0,1009.0,2014-05-02 03:00:00
0.4,9.0,74.0,17.0,14.0,4.0,1009.0,2014-05-02 04:00:00
0.4,8.0,79.0,20.0,17.0,4.0,1009.0,2014-05-02 05:00:00
0.3,7.0,90.0,15.0,12.0,3.0,1009.0,2014-05-02 06:00:00
0.2,9.0,101.0,27.0,10.0,2.0,1009.0,2014-05-02 07:00:00
0.3,10.0,92.0,64.0,61.0,5.0,1009.0,2014-05-02 08:00:00
0.3,12.0,86.0,50.0,27.0,4.0,1009.0,2014-05-02 09:00:00
0.3,12.0,92.0,82.0,23.0,4.0,1009.0,2014-05-02 10:00:00
0.3,11.0,98.0,71.0,23.0,4.0,1009.0,2014-05-02 11:00:00
0.3,11.1,98.1,71.2,22.0,3.9,1009.0,2014-05-02 12:00:00
0.3,10.6,103.6,43.1,16.0,2.5,1009.0,2014-05-02 13:00:00
0.3,10.0,112.0,,18.0,4.0,1009.0,2014-05-02 14:00:00
0.3,10.1,111.5,,18.0,3.5,1009.0,2014-05-02 15:00:00
0.3,16.4,103.9,,19.0,3.3,1009.0,2014-05-02 16:00:00
0.3,14.0,99.0,80.0,15.0,2.0,1009.0,2014-05-02 17:00:00
0.3,15.0,95.0,93.0,13.0,2.0,1009.0,2014-05-02 18:00:00
0.3,17.0,92.0,20.0,9.0,2.0,1009.0,2014-05-02 19:00:00
0.4,26.0,76.0,19.0,12.0,2.0,1009.0,2014-05-02 20:00:00
0.6,50.0,42.0,55.0,19.0,2.0,1009.0,2014-05-02 21:00:00
0.7,63.0,26.0,40.0,19.0,2.0,1009.0,2014-05-02 22:00:00
1.0,89.0,2.0,58.0,27.0,2.0,1009.0,2014-05-02 23:00:00
0.9,88.0,2.0,55.0,30.0,2.0,1009.0,2014-05-03 00:00:00
0.9,89.0,2.0,83.0,38.0,3.0,1009.0,2014-05-03 01:00:00
0.6,84.0,2.0,77.0,31.0,2.0,1009.0,2014-05-03 02:00:00
0.5,77.0,2.0,90.0,33.0,2.0,1009.0,2014-05-03 03:00:00
0.6,65.0,2.0,73.0,34.0,2.0,1009.0,2014-05-03 04:00:00
0.5,53.0,2.0,78.0,30.0,2.0,1009.0,2014-05-03 05:00:00
0.6,70.0,2.0,80.0,34.0,2.0,1009.0,2014-05-03 06:00:00
0.7,64.0,5.0,108.0,41.0,5.0,1009.0,2014-05-03 07:00:00
0.6,63.0,17.0,107.0,50.0,16.0,1009.0,2014-05-03 08:00:00
0.6,55.0,34.0,109.0,56.0,21.0,1009.0,2014-05-03 09:00:00
0.6,50.0,54.0,117.0,56.0,22.0,1009.0,2014-05-03 10:00:00
0.6,38.0,78.0,106.0,71.0,22.0,1009.0,2014-05-03 11:00:00
0.6,27.0,101.0,82.0,56.0,23.0,1009.0,2014-05-03 12:00:00
0.6,27.3,101.2,81.7,55.0,23.3,1009.0,2014-05-03 13:00:00
0.5,22.3,112.8,176.2,53.0,17.2,1009.0,2014-05-03 14:00:00
0.4,25.0,100.0,56.0,35.0,8.0,1009.0,2014-05-03 15:00:00
0.4,25.1,99.9,56.3,35.0,8.0,1009.0,2014-05-03 16:00:00
0.3,11.0,102.0,113.0,32.0,4.0,1009.0,2014-05-03 17:00:00
0.3,10.0,92.0,282.0,47.0,2.0,1009.0,2014-05-03 18:00:00
0.2,10.0,85.0,413.0,,2.0,1009.0,2014-05-03 19:00:00
0.2,10.0,84.0,293.0,52.0,2.0,1009.0,2014-05-03 20:00:00
0.3,11.0,82.0,123.0,24.0,3.0,1009.0,2014-05-03 21:00:00
0.3,11.0,83.0,105.0,24.0,3.0,1009.0,2014-05-03 22:00:00
0.3,12.0,83.0,103.0,30.0,2.0,1009.0,2014-05-03 23:00:00
0.3,11.0,82.0,75.0,30.0,2.0,1009.0,2014-05-04 00:00:00
0.3,10.0,80.0,67.0,32.0,2.0,1009.0,2014-05-04 01:00:00
0.3,11.0,79.0,39.0,27.0,2.0,1009.0,2014-05-04 02:00:00
0.3,9.0,83.0,35.0,30.0,2.0,1009.0,2014-05-04 03:00:00
0.3,12.0,79.0,40.0,31.0,2.0,1009.0,2014-05-04 04:00:00
0.3,14.0,76.0,36.0,32.0,4.0,1009.0,2014-05-04 05:00:00
0.3,13.0,77.0,36.0,34.0,2.0,1009.0,2014-05-04 06:00:00
0.3,20.0,72.0,39.0,36.0,2.0,1009.0,2014-05-04 07:00:00
0.3,19.0,73.0,38.0,33.0,2.0,1009.0,2014-05-04 08:00:00
0.3,15.0,79.0,44.0,24.0,2.0,1009.0,2014-05-04 09:00:00
0.3,13.0,84.0,48.0,22.0,2.0,1009.0,2014-05-04 10:00:00
0.2,12.0,91.0,83.0,23.0,2.0,1009.0,2014-05-04 11:00:00
0.2,12.0,92.0,58.0,45.0,2.0,1009.0,2014-05-04 12:00:00
0.2,11.0,93.0,79.0,31.0,2.0,1009.0,2014-05-04 13:00:00
0.2,11.0,92.0,69.0,18.0,2.0,1009.0,2014-05-04 14:00:00
0.2,13.0,90.0,44.0,22.0,2.0,1009.0,2014-05-04 15:00:00
0.2,14.0,88.0,56.0,45.0,2.0,1009.0,2014-05-04 16:00:00
0.2,16.0,84.0,,41.0,2.0,1009.0,2014-05-04 17:00:00
0.2,16.0,83.0,41.0,22.0,2.0,1009.0,2014-05-04 18:00:00
0.3,19.0,80.0,40.0,17.0,2.0,1009.0,2014-05-04 19:00:00
0.3,27.0,68.0,39.0,15.0,2.0,1009.0,2014-05-04 20:00:00
0.4,35.0,52.0,70.0,23.0,2.0,1009.0,2014-05-04 21:00:00
0.7,68.0,16.0,63.0,27.0,2.0,1009.0,2014-05-04 22:00:00
1.0,83.0,2.0,83.0,31.0,2.0,1009.0,2014-05-04 23:00:00
1.0,84.0,2.0,81.0,43.0,3.0,1009.0,2014-05-05 00:00:00
1.2,85.0,2.0,129.0,60.0,5.0,1009.0,2014-05-05 01:00:00
1.0,80.0,2.0,79.0,49.0,4.0,1009.0,2014-05-05 02:00:00
0.7,79.0,2.0,52.0,32.0,5.0,1009.0,2014-05-05 03:00:00
0.7,70.0,2.0,89.0,30.0,5.0,1009.0,2014-05-05 04:00:00
0.5,55.0,2.0,59.0,30.0,4.0,1009.0,2014-05-05 05:00:00
0.4,73.0,2.0,79.0,29.0,3.0,1009.0,2014-05-05 06:00:00
