CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,station_id,time
0.9,51.0,86.0,112.9,109.0,7.3,1005.0,2014-05-01 00:00:00
0.9,47.1,81.5,112.7,101.0,6.3,1005.0,2014-05-01 01:00:00
0.9,47.8,69.1,108.4,102.0,6.1,1005.0,2014-05-01 02:00:00
1.0,40.7,69.1,115.0,108.0,5.0,1005.0,2014-05-01 03:00:00
1.0,33.7,66.1,116.4,115.0,4.7,1005.0,2014-05-01 04:00:00
1.0,40.5,54.9,124.9,123.0,4.8,1005.0,2014-05-01 05:00:00
1.0,38.8,46.4,,142.0,4.4,1005.0,2014-05-01 06:00:00
1.1,58.2,18.8,,146.0,3.6,1005.0,2014-05-01 07:00:00
1.3,86.5,3.5,134.3,130.0,4.2,1005.0,2014-05-01 08:00:00
1.2,75.0,12.6,162.7,158.0,8.9,1005.0,2014-05-01 09:00:00
1.2,60.8,29.8,161.0,152.0,15.2,1005.0,2014-05-01 10:00:00
1.2,48.4,55.2,170.3,163.0,22.8,1005.0,2014-05-01 11:00:00
1.2,49.6,87.2,,181.0,28.6,1005.0,2014-05-01 12:00:00
1.2,37.6,116.9,,173.0,33.1,1005.0,2014-05-01 13:00:00
1.3,35.1,133.4,,189.0,36.2,1005.0,2014-05-01 14:00:00
1.4,36.3,141.4,,184.0,36.4,1005.0,2014-05-01 15:00:00
1.4,34.6,159.0,,184.0,37.0,1005.0,2014-05-01 16:00:00
1.2,36.4,158.6,,167.0,31.2,1005.0,2014-05-01 17:00:00
1.2,36.7,154.2,,159.0,25.3,1005.0,2014-05-01 18:00:00
1.0,38.7,116.0,,148.0,21.5,1005.0,2014-05-01 19:00:00
0.6,23.2,63.4,,95.0,9.2,1005.0,2014-05-01 20:00:00
0.5,18.9,60.2,,92.0,2.0,1005.0,2014-05-01 21:00:00
0.4,19.8,55.5,,58.0,2.0,1005.0,2014-05-01 22:00:00
0.4,11.4,62.2,,48.0,2.0,1005.0,2014-05-01 23:00:00
0.4,9.2,62.6,,40.0,2.0,1005.0,2014-05-02 00:00:00
0.3,8.7,62.9,,31.0,2.0,1005.0,2014-05-02 01:00:00
0.4,7.0,63.2,,29.0,2.0,1005.0,2014-05-02 02:00:00
0.4,7.3,57.3,,26.0,2.0,1005.0,2014-05-02 03:00:00
0.3,9.1,53.6,,25.0,2.0,1005.0,2014-05-02 04:00:00
0.3,,20.2,,22.0,2.0,1005.0,2014-05-02 05:00:00
0.3,8.0,65.3,,20.0,2.0,1005.0,2014-05-02 06:00:00
0.3,8.9,72.8,,13.0,2.0,1005.0,2014-05-02 07:00:00
