CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,station_id,time
1.3,127.2,20.5,234.4,116.0,6.1,1025.0,2014-05-01 00:00:00
1.2,110.2,10.6,204.1,109.0,3.3,1025.0,2014-05-01 01:00:00
1.1,67.1,40.8,170.2,104.0,2.0,1025.0,2014-05-01 02:00:00
1.0,77.0,29.6,163.9,99.0,3.4,1025.0,2014-05-01 03:00:00
0.1,59.2,2.0,161.4,98.0,2.0,1025.0,2014-05-01 04:00:00
0.6,,52.7,133.1,99.0,2.0,1025.0,2014-05-01 05:00:00
0.9,31.6,73.5,132.1,92.0,2.1,1025.0,2014-05-01 06:00:00
0.9,34.2,68.9,144.8,97.0,2.5,1025.0,2014-05-01 07:00:00
0.9,38.0,68.4,139.3,92.0,4.0,1025.0,2014-05-01 08:00:00
0.9,39.2,75.2,160.8,104.0,9.6,1025.0,2014-05-01 09:00:00
1.1,62.0,60.0,266.6,139.0,14.9,1025.0,2014-05-01 10:00:00
1.2,85.0,55.0,284.9,162.0,18.0,1025.0,2014-05-01 11:00:00
1.2,51.8,106.0,296.3,172.0,23.9,1025.0,2014-05-01 12:00:00
1.2,41.3,131.4,310.0,184.0,29.0,1025.0,2014-05-01 13:00:00
1.9,34.6,161.2,310.0,196.0,53.4,1025.0,2014-05-01 14:00:00
1.7,29.7,176.8,297.7,199.0,52.2,1025.0,2014-05-01 15:00:00
1.5,29.8,185.4,280.7,190.0,40.0,1025.0,2014-05-01 16:00:00
1.4,27.6,188.0,267.4,182.0,40.7,1025.0,2014-05-01 17:00:00
1.0,21.1,147.0,,157.0,26.5,1025.0,2014-05-01 18:00:00
0.5,14.8,85.1,223.3,71.0,5.1,1025.0,2014-05-01 19:00:00
0.4,11.9,77.8,197.6,75.0,2.0,1025.0,2014-05-01 20:00:00
0.4,9.8,78.6,354.0,66.0,2.0,1025.0,2014-05-01 21:00:00
0.4,7.1,76.4,268.4,47.0,2.0,1025.0,2014-05-01 22:00:00
0.4,5.8,76.4,80.4,47.0,2.0,1025.0,2014-05-01 23:00:00
0.4,5.6,76.8,43.1,41.0,2.0,1025.0,2014-05-02 00:00:00
0.4,6.0,76.3,52.2,32.0,2.0,1025.0,2014-05-02 01:00:00
0.4,6.5,73.1,31.6,29.0,2.0,1025.0,2014-05-02 02:00:00
0.4,5.3,75.1,29.5,27.0,2.0,1025.0,2014-05-02 03:00:00
0.4,5.3,75.6,,28.0,2.0,1025.0,2014-05-02 04:00:00
0.4,5.2,77.5,,30.0,2.0,1025.0,2014-05-02 05:00:00
0.3,4.5,81.3,,23.0,2.0,1025.0,2014-05-02 06:00:00
0.3,4.0,93.5,,13.0,2.0,1025.0,2014-05-02 07:00:00
0.2,5.9,97.1,,12.0,2.2,1025.0,2014-05-02 08:00:00
0.3,7.2,88.4,,19.0,3.5,1025.0,2014-05-02 09:00:00
0.3,6.8,86.1,,18.0,2.5,1025.0,2014-05-02 10:00:00
0.3,6.3,90.7,,22.0,2.0,1025.0,2014-05-02 11:00:00
0.3,7.2,89.7,,24.0,2.0,1025.0,2014-05-02 12:00:00
0.3,7.0,92.2,,23.0,2.0,1025.0,2014-05-02 13:00:00
0.3,6.7,94.2,,18.0,2.0,1025.0,2014-05-02 14:00:00
0.3,6.0,97.3,,9.0,2.0,1025.0,2014-05-02 15:00:00
0.3,7.0,102.7,,18.0,2.0,1025.0,2014-05-02 16:00:00
0.3,6.7,101.1,,11.0,2.0,1025.0,2014-05-02 17:00:00
0.3,9.2,91.3,,22.0,2.0,1025.0,2014-05-02 18:00:00
0.2,5.5,98.4,,9.0,2.0,1025.0,2014-05-02 19:00:00
0.2,5.7,97.8,,4.0,2.0,1025.0,2014-05-02 20:00:00
0.3,9.8,92.8,,3.0,2.0,1025.0,2014-05-02 21:00:00
0.3,25.2,68.9,,9.0,2.0,1025.0,2014-05-02 22:00:00
0.5,70.1,15.0,,17.0,2.0,1025.0,2014-05-02 23:00:00
0.6,72.6,2.4,,31.0,2.0,1025.0,2014-05-03 00:00:00
0.7,64.7,2.0,,34.0,2.0,1025.0,2014-05-03 01:00:00
0.5,48.1,21.8,,27.0,2.0,1025.0,2014-05-03 02:00:00
0.4,53.1,15.8,,20.0,2.0,1025.0,2014-05-03 03:00:00
0.4,39.3,25.2,28.7,12.0,2.0,1025.0,2014-05-03 04:00:00
0.3,21.4,44.5,21.2,16.0,2.0,1025.0,2014-05-03 05:00:00
0.3,30.3,35.4,63.2,27.0,2.0,1025.0,2014-05-03 06:00:00
0.3,23.4,36.6,40.8,14.0,2.0,1025.0,2014-05-03 07:00:00
0.4,26.8,29.2,40.6,14.0,2.0,1025.0,2014-05-03 08:00:00
0.4,31.2,37.6,44.4,21.0,7.8,1025.0,2014-05-03 09:00:00
0.5,52.1,26.1,94.0,31.0,10.6,1025.0,2014-05-03 10:00:00
0.6,54.7,39.2,109.0,42.0,8.5,1025.0,2014-05-03 11:00:00
0.6,31.6,70.6,121.4,66.0,16.5,1025.0,2014-05-03 12:00:00
0.6,27.5,92.6,196.7,56.0,14.6,1025.0,2014-05-03 13:00:00
0.6,28.1,105.5,212.6,61.0,15.2,1025.0,2014-05-03 14:00:00
0.5,21.2,102.8,91.2,40.0,8.7,1025.0,2014-05-03 15:00:00
0.3,12.2,91.8,81.0,33.0,5.3,1025.0,2014-05-03 16:00:00
0.3,7.7,97.4,91.6,70.0,3.0,1025.0,2014-05-03 17:00:00
0.3,7.4,99.3,179.5,24.0,2.7,1025.0,2014-05-03 18:00:00
0.3,7.4,87.6,428.9,38.0,2.0,1025.0,2014-05-03 19:00:00
0.3,6.2,85.3,384.2,41.0,2.0,1025.0,2014-05-03 20:00:00
