CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,station_id,time
0.7,33.8,132.9,145.7,91.0,13.1,1020.0,2014-05-01 00:00:00
0.8,50.0,89.0,156.0,101.0,11.0,1020.0,2014-05-01 01:00:00
0.8,35.0,102.0,171.0,111.0,16.0,1020.0,2014-05-01 02:00:00
0.8,25.0,111.0,159.0,119.0,19.0,1020.0,2014-05-01 03:00:00
0.8,26.0,98.0,150.0,127.0,19.0,1020.0,2014-05-01 04:00:00
0.8,32.0,65.0,137.0,132.0,10.0,1020.0,2014-05-01 05:00:00
0.9,42.0,28.0,141.0,134.0,5.0,1020.0,2014-05-01 06:00:00
1.0,44.0,28.0,188.0,142.0,6.0,1020.0,2014-05-01 07:00:00
1.1,62.0,39.0,177.0,167.0,17.0,1020.0,2014-05-01 08:00:00
1.1,55.0,59.0,204.0,181.0,28.0,1020.0,2014-05-01 09:00:00
1.1,51.0,84.0,226.0,188.0,34.0,1020.0,2014-05-01 10:00:00
1.0,26.0,138.0,194.0,164.0,37.0,1020.0,2014-05-01 11:00:00
0.9,16.0,170.0,183.0,162.0,39.0,1020.0,2014-05-01 12:00:00
1.0,14.0,182.0,176.0,163.0,40.0,1020.0,2014-05-01 13:00:00
1.0,12.0,201.0,,153.0,40.0,1020.0,2014-05-01 14:00:00
1.0,13.0,210.0,191.0,147.0,39.0,1020.0,2014-05-01 15:00:00
1.2,14.0,214.0,173.0,155.0,43.0,1020.0,2014-05-01 16:00:00
1.0,17.0,213.0,202.0,154.0,35.0,1020.0,2014-05-01 17:00:00
0.8,32.0,122.0,,85.0,19.0,1020.0,2014-05-01 18:00:00
0.7,44.0,51.0,,99.0,4.0,1020.0,2014-05-01 19:00:00
0.5,28.0,64.0,60.0,44.0,6.0,1020.0,2014-05-01 20:00:00
0.4,22.0,70.0,191.0,60.0,3.0,1020.0,2014-05-01 21:00:00
0.4,18.0,72.0,80.0,40.0,2.0,1020.0,2014-05-01 22:00:00
0.4,22.0,63.0,33.0,30.0,3.0,1020.0,2014-05-01 23:00:00
0.4,18.0,66.0,,28.0,5.0,1020.0,2014-05-02 00:00:00
0.4,14.0,68.0,,32.0,5.0,1020.0,2014-05-02 01:00:00
0.4,14.0,67.0,,30.0,6.0,1020.0,2014-05-02 02:00:00
0.4,13.0,68.0,,24.0,6.0,1020.0,2014-05-02 03:00:00
0.4,11.0,71.0,18.0,17.0,5.0,1020.0,2014-05-02 04:00:00
0.3,14.0,70.0,21.0,17.0,5.0,1020.0,2014-05-02 05:00:00
0.3,14.0,81.0,25.0,21.0,4.0,1020.0,2014-05-02 06:00:00
0.2,18.0,90.0,20.0,9.0,2.0,1020.0,2014-05-02 07:00:00
0.3,18.0,81.0,55.0,16.0,5.0,1020.0,2014-05-02 08:00:00
0.3,17.0,79.0,22.0,19.0,2.0,1020.0,2014-05-02 09:00:00
0.3,18.0,82.0,82.0,26.0,3.0,1020.0,2014-05-02 10:00:00
0.3,18.0,89.0,35.0,29.0,4.0,1020.0,2014-05-02 11:00:00
0.3,17.9,89.1,,29.0,3.7,1020.0,2014-05-02 12:00:00
0.3,17.7,93.8,,20.0,2.1,1020.0,2014-05-02 13:00:00
0.3,19.0,100.0,25.0,13.0,3.0,1020.0,2014-05-02 14:00:00
