station_id,name_chinese,name_english,latitude,longitude,district_id
1001,海淀北部新区,HaiDianBeiBuXinQu,40.090678999999994,116.173553,101
1002,海淀北京植物园,HaiDianBeiJingZhiWuYuan,40.00395,116.20531000000001,101
1003,石景山古城,ShiJingShanGuCheng,39.914409,116.18423899999999,102
1004,丰台云岗,FengTaiYunGang,39.815128,116.17115,103
1005,房山良乡,FangShanLiangXiang,39.742767,116.136045,104
1006,海淀万柳,HaiDianWanLiu,39.987313,116.287451,101
1007,朝阳奥体中心,ChaoYangAoTiZhongXin,39.982053,116.3974,105
1008,西直门北大街,XiZhiMenBeiDaJie,39.954046999999996,116.348991,101
1009,西城万寿西宫,XiChengWanShouXiGong,39.878192999999996,116.351974,106
1010,永定门内大街,YongDingMenNeiDaJie,39.876184,116.39400900000001,103
1011,南三环西路,NanSanHuanXiLu,39.855958,116.36781,103
1012,朝阳农展馆,ChaoYangNongZhanGuan,39.937119,116.460742,105
1013,东城东四,DongChengDongSi,39.929287,116.41688300000001,107
1014,东四环北路,DongSiHuanBeiLu,39.939554,116.483746,105
1015,西城官园,XiChengGuanYuan,39.929302,116.351029,106
1016,丰台花园,FengTaiHuaYuan,39.86347,116.279082,103
1017,大兴黄村镇,DaXingHuangCunZhen,39.718146999999995,116.406155,108
1018,亦庄开发区,YiZhuangKaiFaQu,39.794491,116.50631899999999,108
1019,通州新城,TongZhouXinCheng,39.885241,116.664162,109
1020,东城天坛,DongChengTianTan,39.886491,116.40735500000001,107
1021,前门东大街,QianMenDongDaJie,39.899135,116.39538300000001,107
1022,北京美国大使馆,BeiJingMeiGuoDaShiGuan,39.920993,116.443448,105
1023,顺义新城,ShunYiXinCheng,40.127,116.655,110
1024,昌平镇,ChangPingZhen,40.216999,116.23,111
1025,门头沟龙泉镇,MenTouGouLongQuanZhen,39.936999,116.105999,112
1026,平谷镇,PingGuZhen,40.143,117.099999,113
1027,怀柔镇,HuaiRouZhen,40.328,116.628,114
1028,密云镇,MiYunZhen,40.369999,116.831999,115
1029,延庆镇,YanQingZhen,40.453,115.971999,116
1030,昌平定陵,ChangPingDingLing,40.292,116.22,111
1031,京西北八达岭,JingXiBeiBaDaLing,40.365,115.988,116
1032,京东北密云水库,JingDongBeiMiYunShuiKu,40.499,116.911,115
1033,京东东高村,JingDongDongGaoCun,40.1,117.12,113
1034,京东南永乐店,JingDongNanYongLeDian,39.712,116.783,109
1035,京南榆垡,JingNanYu,39.52,116.3,108
1036,京西南琉璃河,JingXiNanLiuLiHe,39.579999,116.0,104
