CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,station_id,time
0.9,105.4,104.0,134.2,97.0,16.0,1031.0,2014-05-01 00:00:00
0.9,58.0,130.6,131.8,97.0,12.3,1031.0,2014-05-01 01:00:00
0.9,129.5,62.1,137.2,103.0,14.1,1031.0,2014-05-01 02:00:00
0.8,122.8,59.7,137.7,107.0,12.4,1031.0,2014-05-01 03:00:00
0.8,145.2,30.7,142.0,111.0,11.7,1031.0,2014-05-01 04:00:00
0.8,152.3,3.7,141.0,119.0,11.0,1031.0,2014-05-01 05:00:00
0.8,,2.2,140.1,115.0,9.4,1031.0,2014-05-01 06:00:00
0.8,100.7,39.0,142.8,120.0,7.5,1031.0,2014-05-01 07:00:00
0.9,99.5,29.9,137.2,125.0,8.6,1031.0,2014-05-01 08:00:00
0.9,64.6,67.3,158.8,136.0,13.1,1031.0,2014-05-01 09:00:00
0.9,50.0,95.5,161.2,144.0,15.6,1031.0,2014-05-01 10:00:00
0.9,42.1,131.8,166.1,147.0,16.2,1031.0,2014-05-01 11:00:00
1.0,41.2,154.5,176.7,158.0,16.0,1031.0,2014-05-01 12:00:00
1.0,40.6,181.7,194.0,170.0,17.3,1031.0,2014-05-01 13:00:00
1.1,54.6,200.6,212.8,189.0,17.4,1031.0,2014-05-01 14:00:00
1.2,56.9,195.2,241.6,210.0,22.1,1031.0,2014-05-01 15:00:00
1.6,44.9,202.5,235.6,213.0,39.0,1031.0,2014-05-01 16:00:00
1.5,36.7,191.2,266.4,194.0,35.0,1031.0,2014-05-01 17:00:00
0.7,34.2,92.2,158.0,82.0,11.0,1031.0,2014-05-01 18:00:00
0.6,37.9,66.2,237.0,140.0,10.0,1031.0,2014-05-01 19:00:00
0.6,42.2,54.9,574.0,94.0,12.4,1031.0,2014-05-01 20:00:00
0.6,41.2,55.5,316.3,65.0,10.5,1031.0,2014-05-01 21:00:00
0.5,30.4,62.2,156.9,48.0,7.6,1031.0,2014-05-01 22:00:00
0.5,29.5,59.8,183.2,41.0,8.9,1031.0,2014-05-01 23:00:00
0.4,36.7,54.0,48.1,38.0,9.3,1031.0,2014-05-02 00:00:00
0.4,38.1,46.5,40.2,37.0,8.5,1031.0,2014-05-02 01:00:00
0.5,37.5,43.8,34.7,25.0,10.3,1031.0,2014-05-02 02:00:00
0.5,27.9,53.3,31.7,25.0,10.2,1031.0,2014-05-02 03:00:00
0.4,22.2,62.8,30.8,22.0,7.9,1031.0,2014-05-02 04:00:00
0.4,18.3,74.3,,35.0,5.6,1031.0,2014-05-02 05:00:00
0.3,15.5,96.3,17.5,15.0,2.0,1031.0,2014-05-02 06:00:00
0.2,15.4,103.6,18.8,11.0,2.0,1031.0,2014-05-02 07:00:00
0.3,24.5,83.2,31.9,14.0,2.9,1031.0,2014-05-02 08:00:00
0.3,27.5,71.1,51.1,36.0,4.6,1031.0,2014-05-02 09:00:00
0.4,26.8,72.1,54.0,25.0,9.3,1031.0,2014-05-02 10:00:00
0.4,25.5,78.0,55.3,27.0,7.0,1031.0,2014-05-02 11:00:00
0.4,25.9,84.2,55.9,41.0,7.0,1031.0,2014-05-02 12:00:00
0.4,24.8,89.2,,74.0,6.5,1031.0,2014-05-02 13:00:00
0.3,20.6,94.4,,51.0,2.5,1031.0,2014-05-02 14:00:00
0.3,31.4,82.8,43.9,12.0,2.0,1031.0,2014-05-02 15:00:00
0.3,31.7,87.2,64.3,47.0,4.0,1031.0,2014-05-02 16:00:00
0.3,39.2,81.9,37.2,29.0,2.2,1031.0,2014-05-02 17:00:00
0.3,44.9,69.3,260.6,34.0,3.4,1031.0,2014-05-02 18:00:00
0.3,37.8,81.5,45.8,8.0,2.7,1031.0,2014-05-02 19:00:00
0.3,50.1,71.4,24.6,11.0,3.8,1031.0,2014-05-02 20:00:00
0.3,41.4,74.4,23.8,10.0,5.6,1031.0,2014-05-02 21:00:00
0.4,51.3,60.9,36.6,15.0,12.5,1031.0,2014-05-02 22:00:00
0.4,44.6,61.6,25.2,13.0,8.5,1031.0,2014-05-02 23:00:00
0.3,66.1,36.4,19.8,12.0,5.8,1031.0,2014-05-03 00:00:00
0.3,99.2,26.2,20.1,16.0,8.4,1031.0,2014-05-03 01:00:00
0.3,56.7,38.7,13.0,6.0,2.6,1031.0,2014-05-03 02:00:00
0.2,24.1,67.4,7.8,4.0,2.0,1031.0,2014-05-03 03:00:00
0.2,15.6,78.9,8.4,7.0,2.0,1031.0,2014-05-03 04:00:00
0.2,17.2,72.6,12.8,9.0,2.0,1031.0,2014-05-03 05:00:00
0.2,13.3,76.3,14.0,10.0,2.0,1031.0,2014-05-03 06:00:00
0.2,18.0,72.7,10.6,6.0,2.0,1031.0,2014-05-03 07:00:00
0.3,19.7,70.8,14.3,9.0,3.0,1031.0,2014-05-03 08:00:00
0.3,41.1,61.8,27.5,14.0,5.1,1031.0,2014-05-03 09:00:00
0.3,32.8,71.3,28.3,16.0,3.7,1031.0,2014-05-03 10:00:00
0.4,32.2,72.5,29.2,22.0,3.7,1031.0,2014-05-03 11:00:00
0.4,32.9,75.5,39.4,31.0,4.2,1031.0,2014-05-03 12:00:00
0.4,54.4,65.5,65.0,45.0,5.2,1031.0,2014-05-03 13:00:00
0.5,72.7,65.6,104.5,52.0,7.6,1031.0,2014-05-03 14:00:00
0.4,45.6,79.2,69.9,48.0,8.0,1031.0,2014-05-03 15:00:00
0.3,23.1,98.4,104.8,36.0,5.1,1031.0,2014-05-03 16:00:00
0.3,27.2,97.6,145.3,50.0,2.7,1031.0,2014-05-03 17:00:00
0.3,24.6,88.1,361.4,18.0,2.0,1031.0,2014-05-03 18:00:00
0.3,17.9,91.4,598.2,37.0,2.0,1031.0,2014-05-03 19:00:00
0.3,15.8,88.9,435.8,21.0,2.0,1031.0,2014-05-03 20:00:00
0.2,15.3,86.6,279.0,12.0,2.0,1031.0,2014-05-03 21:00:00
0.3,18.0,86.4,157.8,21.0,2.0,1031.0,2014-05-03 22:00:00
0.3,19.1,84.9,125.4,23.0,2.0,1031.0,2014-05-03 23:00:00
0.3,21.0,81.6,80.5,21.0,2.0,1031.0,2014-05-04 00:00:00
0.3,17.2,86.1,47.1,20.0,2.0,1031.0,2014-05-04 01:00:00
0.3,20.1,82.0,27.0,21.0,2.0,1031.0,2014-05-04 02:00:00
0.3,18.5,80.6,29.1,22.0,2.0,1031.0,2014-05-04 03:00:00
0.3,45.4,61.1,48.4,30.0,3.8,1031.0,2014-05-04 04:00:00
0.4,56.7,47.2,59.3,37.0,10.6,1031.0,2014-05-04 05:00:00
0.4,,26.1,58.9,39.0,12.5,1031.0,2014-05-04 06:00:00
0.4,56.9,43.6,57.5,44.0,18.1,1031.0,2014-05-04 07:00:00
0.5,45.0,50.8,58.8,41.0,22.0,1031.0,2014-05-04 08:00:00
0.5,37.2,60.5,57.4,38.0,23.1,1031.0,2014-05-04 09:00:00
0.3,24.3,77.9,40.4,26.0,6.4,1031.0,2014-05-04 10:00:00
0.2,19.3,88.4,41.6,10.0,2.0,1031.0,2014-05-04 11:00:00
0.2,16.0,93.3,107.8,15.0,2.0,1031.0,2014-05-04 12:00:00
0.2,17.8,91.6,67.7,7.0,2.0,1031.0,2014-05-04 13:00:00
0.2,14.6,92.0,51.6,15.0,2.0,1031.0,2014-05-04 14:00:00
0.2,16.9,89.4,34.7,8.0,2.0,1031.0,2014-05-04 15:00:00
0.2,14.8,90.3,38.6,11.0,2.0,1031.0,2014-05-04 16:00:00
0.2,18.7,86.0,41.0,12.0,2.0,1031.0,2014-05-04 17:00:00
0.2,26.5,81.5,53.5,13.0,2.0,1031.0,2014-05-04 18:00:00
0.2,28.3,77.2,44.8,12.0,2.0,1031.0,2014-05-04 19:00:00
0.2,20.1,84.3,29.2,11.0,2.0,1031.0,2014-05-04 20:00:00
0.2,23.0,81.7,28.6,12.0,2.0,1031.0,2014-05-04 21:00:00
0.3,33.3,72.8,35.9,14.0,2.0,1031.0,2014-05-04 22:00:00
0.3,38.7,65.4,36.7,12.0,2.8,1031.0,2014-05-04 23:00:00
0.3,67.2,22.2,26.9,14.0,2.0,1031.0,2014-05-05 00:00:00
0.3,74.0,15.4,24.0,12.0,2.0,1031.0,2014-05-05 01:00:00
0.3,50.4,35.0,21.1,8.0,2.0,1031.0,2014-05-05 02:00:00
0.3,30.1,54.0,26.1,8.0,2.0,1031.0,2014-05-05 03:00:00
0.3,44.9,41.0,37.7,9.0,2.0,1031.0,2014-05-05 04:00:00
0.3,85.2,13.6,48.6,11.0,4.3,1031.0,2014-05-05 05:00:00
0.3,83.4,12.6,39.7,9.0,6.3,1031.0,2014-05-05 06:00:00
0.4,85.0,20.3,35.6,12.0,8.3,1031.0,2014-05-05 07:00:00
0.4,36.2,53.5,41.6,11.0,2.7,1031.0,2014-05-05 08:00:00
0.5,50.0,41.7,44.5,19.0,9.4,1031.0,2014-05-05 09:00:00
0.4,43.4,62.3,21.9,16.0,4.7,1031.0,2014-05-05 10:00:00
0.4,29.8,78.7,17.0,9.0,3.2,1031.0,2014-05-05 11:00:00
0.4,28.2,85.2,25.0,13.0,5.7,1031.0,2014-05-05 12:00:00
0.4,26.7,89.1,27.9,14.0,8.3,1031.0,2014-05-05 13:00:00
0.5,33.0,88.3,35.6,11.0,6.5,1031.0,2014-05-05 14:00:00
0.5,40.8,83.1,34.3,13.0,4.7,1031.0,2014-05-05 15:00:00
0.5,19.9,104.7,16.4,5.0,2.1,1031.0,2014-05-05 16:00:00
0.6,55.9,76.1,21.4,14.0,5.7,1031.0,2014-05-05 17:00:00
0.6,57.8,78.8,20.5,9.0,5.7,1031.0,2014-05-05 18:00:00
0.6,33.9,98.4,22.1,14.0,6.0,1031.0,2014-05-05 19:00:00
0.6,54.0,103.6,83.2,21.0,5.6,1031.0,2014-05-05 20:00:00
0.6,71.3,80.9,72.4,21.0,5.9,1031.0,2014-05-05 21:00:00
0.6,75.9,67.6,59.5,20.0,5.7,1031.0,2014-05-05 22:00:00
0.6,75.1,62.9,51.1,20.0,4.8,1031.0,2014-05-05 23:00:00
0.6,80.3,53.2,48.6,25.0,4.2,1031.0,2014-05-06 00:00:00
0.7,63.7,62.8,48.9,24.0,4.8,1031.0,2014-05-06 01:00:00
0.8,60.7,59.5,52.2,23.0,5.5,1031.0,2014-05-06 02:00:00
0.8,118.5,5.9,55.8,30.0,8.3,1031.0,2014-05-06 03:00:00
0.9,124.6,2.0,66.3,52.0,10.7,1031.0,2014-05-06 04:00:00
0.9,116.9,2.0,67.6,46.0,10.9,1031.0,2014-05-06 05:00:00
1.0,97.0,8.3,70.4,42.0,10.5,1031.0,2014-05-06 06:00:00
1.1,84.2,17.7,70.5,48.0,10.7,1031.0,2014-05-06 07:00:00
1.1,94.5,13.3,72.3,48.0,13.1,1031.0,2014-05-06 08:00:00
1.3,62.5,56.9,77.0,56.0,21.1,1031.0,2014-05-06 09:00:00
1.3,48.3,76.5,74.1,67.0,23.0,1031.0,2014-05-06 10:00:00
1.2,42.0,91.2,74.5,71.0,21.8,1031.0,2014-05-06 11:00:00
,,,,,,,2014-05-06 12:00:00
,,,,,,,2014-05-06 13:00:00
,,,,,,,2014-05-06 14:00:00
,,,,,,,2014-05-06 15:00:00
,,,,,,,2014-05-06 16:00:00
,,,,,,,2014-05-06 17:00:00
,,,,,,,2014-05-06 18:00:00
,,,,,,,2014-05-06 19:00:00
,,,,,,,2014-05-06 20:00:00
,,,,,,,2014-05-06 21:00:00
,,,,,,,2014-05-06 22:00:00
,,,,,,,2014-05-06 23:00:00
,,,,,,,2014-05-07 00:00:00
,,,,,,,2014-05-07 01:00:00
,,,,,,,2014-05-07 02:00:00
,,,,,,,2014-05-07 03:00:00
,,,,,,,2014-05-07 04:00:00
,,,,,,,2014-05-07 05:00:00
,,,,,,,2014-05-07 06:00:00
,,,,,,,2014-05-07 07:00:00
,,,,,,,2014-05-07 08:00:00
,,,,,,,2014-05-07 09:00:00
,,,,,,,2014-05-07 10:00:00
,,,,,,,2014-05-07 11:00:00
,,,,,,,2014-05-07 12:00:00
,,,,,,,2014-05-07 13:00:00
,,,,,,,2014-05-07 14:00:00
,,,,,,,2014-05-07 15:00:00
,,,,,,,2014-05-07 16:00:00
,,,,,,,2014-05-07 17:00:00
,,,,,,,2014-05-07 18:00:00
,,,,,,,2014-05-07 19:00:00
,,,,,,,2014-05-07 20:00:00
,,,,,,,2014-05-07 21:00:00
,,,,,,,2014-05-07 22:00:00
,,,,,,,2014-05-07 23:00:00
,,,,,,,2014-05-08 00:00:00
,,,,,,,2014-05-08 01:00:00
,,,,,,,2014-05-08 02:00:00
,,,,,,,2014-05-08 03:00:00
,,,,,,,2014-05-08 04:00:00
,,,,,,,2014-05-08 05:00:00
,,,,,,,2014-05-08 06:00:00
,,,,,,,2014-05-08 07:00:00
,,,,,,,2014-05-08 08:00:00
,,,,,,,2014-05-08 09:00:00
,,,,,,,2014-05-08 10:00:00
,,,,,,,2014-05-08 11:00:00
,,,,,,,2014-05-08 12:00:00
0.9,35.1,180.2,,76.0,13.6,1031.0,2014-05-08 13:00:00
0.9,35.1,180.2,,76.0,13.6,1031.0,2014-05-08 14:00:00
0.8,27.5,180.4,,55.0,13.4,1031.0,2014-05-08 15:00:00
0.8,28.9,187.0,,60.0,13.7,1031.0,2014-05-08 16:00:00
0.8,33.4,181.1,,74.0,14.1,1031.0,2014-05-08 17:00:00
0.8,41.5,168.3,,72.0,13.8,1031.0,2014-05-08 18:00:00
0.8,48.0,170.8,,79.0,13.5,1031.0,2014-05-08 19:00:00
0.8,56.0,165.3,,71.0,13.2,1031.0,2014-05-08 20:00:00
0.7,71.1,145.8,,62.0,13.1,1031.0,2014-05-08 21:00:00
1.0,94.3,105.1,,66.0,16.8,1031.0,2014-05-08 22:00:00
1.2,78.7,99.5,,70.0,20.9,1031.0,2014-05-08 23:00:00
1.2,75.6,90.7,,64.0,20.5,1031.0,2014-05-09 00:00:00
0.8,32.1,124.4,60.2,57.0,15.2,1031.0,2014-05-09 01:00:00
1.0,85.9,73.3,86.2,55.0,20.4,1031.0,2014-05-09 02:00:00
1.0,128.5,31.4,98.5,61.0,23.5,1031.0,2014-05-09 03:00:00
1.0,108.8,41.3,82.8,64.0,22.0,1031.0,2014-05-09 04:00:00
0.9,83.1,61.3,78.1,67.0,21.4,1031.0,2014-05-09 05:00:00
0.9,132.3,18.5,68.5,67.0,23.2,1031.0,2014-05-09 06:00:00
0.8,116.8,35.4,55.1,50.0,25.9,1031.0,2014-05-09 07:00:00
1.2,107.9,43.7,64.7,60.0,35.4,1031.0,2014-05-09 08:00:00
1.5,96.2,61.8,74.9,66.0,46.9,1031.0,2014-05-09 09:00:00
1.6,74.3,85.5,82.7,55.0,45.0,1031.0,2014-05-09 10:00:00
1.7,71.3,84.3,103.9,60.0,45.4,1031.0,2014-05-09 11:00:00
2.2,76.7,74.4,126.5,71.0,52.0,1031.0,2014-05-09 12:00:00
2.2,69.7,81.3,137.0,77.0,51.2,1031.0,2014-05-09 13:00:00
1.8,72.3,77.6,111.3,70.0,37.4,1031.0,2014-05-09 14:00:00
1.5,70.4,78.5,93.1,61.0,32.6,1031.0,2014-05-09 15:00:00
1.6,72.6,79.0,95.3,57.0,34.7,1031.0,2014-05-09 16:00:00
1.6,74.1,79.2,100.3,64.0,33.9,1031.0,2014-05-09 17:00:00
1.5,72.6,88.3,109.9,64.0,29.6,1031.0,2014-05-09 18:00:00
1.4,81.4,84.0,105.8,62.0,29.6,1031.0,2014-05-09 19:00:00
