0.27,-0.17,0.32,0.48,0.17,0.27,0.37,0.93,0.25,0.16
0.13,0.87,-3.21,0.06,0.26,1.44,1.47,0.64,0.28,0.52
-0.12,0.07,0.07,-0.78,0.26,0.44,-0.08,-0.89,-0.12,0.58
0.03,0.3,-3.21,-0.58,-0.72,-0.31,0.71,1.05,0.59,-0.53
0.23,0.81,-0.05,0.08,0.26,0.15,0.64,0.05,0.03,-0.09
0.12,-0.22,-3.21,-1.62,0.26,-0.35,0.26,-0.39,-0.25,-0.33
0.39,-0.22,-3.21,-2.62,0.26,-0.76,0.48,-0.6,-0.37,-0.81
0.02,-0.04,0.29,-0.04,0.26,-1.01,0.07,0.89,0.1,-0.84
0.5,0.14,0.39,-0.64,0.26,-0.68,0.3,0.93,0.5,-0.64
-0.25,0.07,0.25,0.52,0.26,-1.22,0.9,1.37,0.63,-1.4
-0.04,-2.4,-3.21,-1.13,-0.72,0.4,0.26,-1.17,-0.06,0.35
-3.5,-0.57,0.14,-5.44,0.98,-0.85,-1.18,-2.01,0.44,0.01
0.04,-0.17,0.29,-0.78,0.17,-0.39,0.33,-1.81,-1.0,-0.41
0.15,0.34,0.07,0.02,0.26,0.02,0.03,0.08,0.31,0.13
0.29,-0.19,0.08,-0.09,0.98,-1.47,-0.95,-0.27,0.97,-0.72
0.14,-0.24,-3.21,0.17,0.89,-2.09,-0.87,-2.69,-3.33,-1.4
-0.01,-0.32,0.1,-0.52,0.26,-0.31,0.07,-0.57,0.28,-0.18
-0.3,-0.31,0.4,0.77,0.71,0.56,-1.33,0.0,0.75,1.65
-0.09,0.3,0.08,0.2,0.26,-0.18,0.22,0.31,-0.28,-0.16
-0.09,-0.22,0.27,0.57,-0.19,0.73,0.03,-0.4,-0.4,0.77
